Model,edu_primary_coef,edu_primary_se,edu_junior_high_plus_coef,edu_junior_high_plus_se,log_pce_low_coef,log_pce_low_se,Gender
Model 1 (Base),-0.741968136026857,0.2776633713968848,-1.8102375181599304,0.28221714872972103,-0.3086551839153555,0.15072312006967453,Male
Model 2 (+Childhood),-0.741968136026857,0.2776633713968848,-1.8102375181599304,0.28221714872972103,-0.3086551839153555,0.15072312006967453,Male
Model 3 (+Family),-0.741968136026857,0.2776633713968848,-1.8102375181599304,0.28221714872972103,-0.3086551839153555,0.15072312006967453,Male
Model 4 (+Health),-0.6606330382827418,0.25874690742715817,-1.4121551104525307,0.2609567216819057,-0.23333439992949542,0.14312698238471092,Male
Model 1 (Base),-0.7216445984636516,0.2300527854253806,-1.5089105286472937,0.2396967751857071,-0.03657986360436471,0.15426429903178088,Female
Model 2 (+Childhood),-0.7216445984636516,0.2300527854253806,-1.5089105286472937,0.2396967751857071,-0.03657986360436471,0.15426429903178088,Female
Model 3 (+Family),-0.7216445984636516,0.2300527854253806,-1.5089105286472937,0.2396967751857071,-0.03657986360436471,0.15426429903178088,Female
Model 4 (+Health),-0.6427530728686093,0.2227897585799277,-1.2849158211601772,0.22964409043407716,-0.0852662396074003,0.14990190395061098,Female
